threshold	vertex-count	edge-count	connected-component-count	density	density-orig-V	largest-cc-size	2nd-largest-cc-size	clustering-coefficient	random-clustering-coefficient	2nd-eigenvalue	almost-disconnected-component-count	maximal-clique-count	clique-number	poisson-chi2	poisson-pvalue	goe-chi2	goe-pvalue	scale-free-KS	scale-free-KS-p-value	scale-free-alpha
0	89	2972	1	0.758938	0.758938	89	0	0.702926	0.758789	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.001	89	2970	1	0.758427	0.758427	89	0	0.702536	0.758307	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.002	89	2965	1	0.75715	0.75715	89	0	0.701367	0.757023	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.003	89	2957	1	0.755107	0.755107	89	0	0.699835	0.755194	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.004	89	2952	1	0.75383	0.75383	89	0	0.698199	0.753569	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.005	89	2948	1	0.752809	0.752809	89	0	0.697416	0.752703	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.006	89	2942	1	0.751277	0.751277	89	0	0.695898	0.751217	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.007	89	2938	1	0.750255	0.750255	89	0	0.694999	0.750327	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.008	89	2934	1	0.749234	0.749234	89	0	0.694215	0.749344	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.009	89	2927	1	0.747446	0.747446	89	0	0.692458	0.747503	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.01	89	2924	1	0.74668	0.74668	89	0	0.692089	0.746923	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.011	89	2920	1	0.745659	0.745659	89	0	0.691133	0.745991	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.012	89	2911	1	0.743361	0.743361	89	0	0.689163	0.74365	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.013	89	2906	1	0.742084	0.742084	89	0	0.688274	0.742701	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.014	89	2898	1	0.740041	0.740041	89	0	0.685839	0.740325	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.015	89	2894	1	0.739019	0.739019	89	0	0.684791	0.739228	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.016	89	2893	1	0.738764	0.738764	89	0	0.684413	0.738874	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.017	89	2890	1	0.737998	0.737998	89	0	0.683803	0.738155	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.018	89	2886	1	0.736977	0.736977	89	0	0.682532	0.736945	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.019	89	2883	1	0.73621	0.73621	89	0	0.682136	0.736432	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.02	89	2880	1	0.735444	0.735444	89	0	0.681734	0.735989	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.021	89	2874	1	0.733912	0.733912	89	0	0.680605	0.734778	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.022	89	2867	1	0.732125	0.732125	89	0	0.678938	0.732751	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.023	89	2862	1	0.730848	0.730848	89	0	0.677283	0.731203	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.024	89	2857	1	0.729571	0.729571	89	0	0.67624	0.730175	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.025	89	2847	1	0.727017	0.727017	89	0	0.674034	0.727766	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.026	89	2838	1	0.724719	0.724719	89	0	0.672042	0.725776	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.027	89	2836	1	0.724208	0.724208	89	0	0.671754	0.725366	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.028	89	2833	1	0.723442	0.723442	89	0	0.670758	0.724504	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.029	89	2829	1	0.722421	0.722421	89	0	0.669389	0.723278	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.03	89	2825	1	0.721399	0.721399	89	0	0.668767	0.722246	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.031	89	2819	1	0.719867	0.719867	89	0	0.667369	0.720772	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.032	89	2811	1	0.717824	0.717824	89	0	0.665604	0.718812	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.033	89	2804	1	0.716037	0.716037	89	0	0.664038	0.716836	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.034	89	2798	1	0.714505	0.714505	89	0	0.663206	0.715501	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.035	89	2796	1	0.713994	0.713994	89	0	0.662888	0.715165	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.036	89	2791	1	0.712717	0.712717	89	0	0.661741	0.714041	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.037	89	2786	1	0.71144	0.71144	89	0	0.661069	0.713121	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.038	89	2783	1	0.710674	0.710674	89	0	0.660412	0.712498	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.039	89	2779	1	0.709653	0.709653	89	0	0.659447	0.711624	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.04	89	2772	1	0.707865	0.707865	89	0	0.657761	0.709813	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.041	89	2763	1	0.705567	0.705567	89	0	0.655539	0.707692	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.042	89	2755	1	0.703524	0.703524	89	0	0.653575	0.705914	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.043	89	2751	1	0.702503	0.702503	89	0	0.652877	0.705193	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.044	89	2746	1	0.701226	0.701226	89	0	0.652246	0.70435	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
