NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub08g022210.1.1	287	1.0113165378570557	0.0071407813	No	
row_1	CLCdnPW46_13246	831	0.39623594284057617	-0.13601154	No	
row_2	CLCdnPW2_10865	1518	-8.275386062450707E-4	-0.36846846	No	
row_3	CLCdnPW2_3438	1926	-0.29336702823638916	-0.4761414	No	
row_4	CLCdnDe7_13021	2335	-0.6504952311515808	-0.5472761	Yes	
row_5	CLCdnPW48_21289	2404	-0.7188437581062317	-0.49609888	Yes	
row_6	CLCdnPW10_18181	2466	-0.7721343040466309	-0.43704596	Yes	
row_7	CLCdnPW12_7749	2766	-1.2256304025650024	-0.41184285	Yes	
row_8	PBdnRY1_6755	2803	-1.305823564529419	-0.28920642	Yes	
row_9	CLCdnDe12_1531	2809	-1.325515866279602	-0.15402807	Yes	
row_10	VdnPW1_27723	2922	-1.9840666055679321	0.012881279	Yes	
