NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnPW12_30149	11	1.3059226274490356	0.27317834	Yes	
row_1	CLCdnDe7_128107	15	1.1982858180999756	0.5259481	Yes	
row_2	CLCdnDe14_116472	211	0.6384707689285278	0.6031715	Yes	
row_3	CLCdnDe13_115185	995	0.21465766429901123	0.4159914	No	
row_4	SdnRY1_4815	1028	0.20012755692005157	0.44884887	No	
row_5	VdnDe3_153685	1557	6.536645378218964E-5	0.29199997	No	
row_6	CLCdnDe11_47734	1581	0.0	0.28516695	No	
row_7	CLCdnRY10_9675	1587	0.0	0.28368148	No	
row_8	CLCdnDe13_67017	1924	-0.028005078434944153	0.18978804	No	
row_9	VdnPW4_7566	2063	-0.09267161041498184	0.16840717	No	
row_10	VdnPW1_138604	2089	-0.10391200333833694	0.18297674	No	
row_11	CLCdnDe11_13823	2152	-0.12859667837619781	0.19177943	No	
row_12	Sotub05g021540.1.1	2361	-0.19206731021404266	0.1706431	No	
row_13	CLCdnPW1_2104	2600	-0.29312169551849365	0.16198596	No	
row_14	CLCdnRY10_6932	2653	-0.3280610740184784	0.2159835	No	
