NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnPW36_310	826	0.27102336287498474	-0.2252687	No	
row_1	SdnRY1_26986	1078	0.12679535150527954	-0.28471684	No	
row_2	CLCdnDe11_19980	1196	0.06648793816566467	-0.31093138	No	
row_3	SdnRY1_60701	1589	-0.0046307859010994434	-0.4429645	No	
row_4	CLCdnPW35_11122	1690	-0.05678429827094078	-0.46537882	No	
row_5	CLCdnDe12_196	1997	-0.19337618350982666	-0.52999145	No	
row_6	VdnDe1_72846	2230	-0.3402943015098572	-0.5397303	Yes	
row_7	VdnDe3_168157	2393	-0.4531571865081787	-0.5028532	Yes	
row_8	VdnPW5_2664	2536	-0.5515289902687073	-0.4392574	Yes	
row_9	SdnRY1_22609	2540	-0.5534772872924805	-0.32811618	Yes	
row_10	VdnDe6_83995	2635	-0.6565627455711365	-0.22695369	Yes	
row_11	VdnPW6_144	2705	-0.7408534288406372	-0.100229874	Yes	
row_12	CLCdnPW26_13763	2810	-0.9197900295257568	0.050881922	Yes	
