NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VdnPW2_43290	1156	0.08679180592298508	-0.37063077	No	
row_1	VdnPW2_60061	1208	0.057214464992284775	-0.37375784	No	
row_2	VdnDe3_127668	1800	-0.10673954337835312	-0.5477919	Yes	
row_3	CLCdnDe10_7425	1836	-0.12388354539871216	-0.52897674	Yes	
row_4	PBdnRY1_9546	1935	-0.15908873081207275	-0.52281123	Yes	
row_5	Sotub03g009780.1.1	2124	-0.2815192639827728	-0.51684713	Yes	
row_6	VdnDe5_4440	2142	-0.28771501779556274	-0.45134288	Yes	
row_7	TDe_comp95966_c0_seq1	2193	-0.31429052352905273	-0.39044955	Yes	
row_8	PBdnRY1_5997	2311	-0.38845205307006836	-0.33391267	Yes	
row_9	TDe_comp94444_c0_seq1	2321	-0.3954997956752777	-0.23899497	Yes	
row_10	CLCdnPW20_1892	2484	-0.5238073468208313	-0.16419336	Yes	
row_11	Sotub01g020050.1.1	2623	-0.6378830075263977	-0.05299256	Yes	
row_12	CLCdnDe2_114308	2649	-0.6740375757217407	0.1054953	Yes	
