NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VdnDe5_67029	126	0.7062793970108032	0.122664295	Yes	
row_1	CLCdnDe10_133169	147	0.662356972694397	0.2715617	Yes	
row_2	PBdnRY1_64	372	0.41792234778404236	0.29259533	Yes	
row_3	CLCdnDe8_44	380	0.4125670790672302	0.3872227	Yes	
row_4	CLCdnPW1_1598	408	0.39374279975891113	0.4705234	Yes	
row_5	CLCdnDe12_12595	683	0.2415032535791397	0.43281323	Yes	
row_6	CLCdnDe11_925	838	0.19186745584011078	0.4248216	Yes	
row_7	Sotub05g007200.1.1	878	0.1731133759021759	0.45208755	Yes	
row_8	CLCdnDe4_25247	897	0.1648024022579193	0.4846425	Yes	
row_9	SdnPW1_10267	1086	0.09098140150308609	0.44119278	No	
row_10	CLCdnDe1_7082	1165	0.06415939331054688	0.42937818	No	
row_11	VdnPW2_37897	1776	-0.15496748685836792	0.25541148	No	
row_12	CLCdnPW10_4222	2108	-0.2808517515659332	0.20729475	No	
row_13	CLCdnRY10_976	2140	-0.2963131070137024	0.2662987	No	
