NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe1_11299	906	0.20902860164642334	-0.25464284	No	
row_1	CLCdnRY10_976	1089	0.09550642967224121	-0.29228118	No	
row_2	CLCdnPW10_4222	1402	0.010871718637645245	-0.395406	No	
row_3	CLCdnDe4_25247	1713	-0.002368865069001913	-0.4999995	No	
row_4	SdnPW1_10267	1894	-0.12681519985198975	-0.52905244	Yes	
row_5	CLCdnDe11_925	2024	-0.19139359891414642	-0.52449083	Yes	
row_6	CLCdnDe12_12595	2027	-0.1929382085800171	-0.47644454	Yes	
row_7	CLCdnDe8_44	2175	-0.2725808024406433	-0.45748773	Yes	
row_8	VdnDe5_67029	2179	-0.27710339426994324	-0.38852555	Yes	
row_9	PBdnRY1_64	2183	-0.28321048617362976	-0.31802103	Yes	
row_10	CLCdnPW1_1598	2352	-0.35945454239845276	-0.28425086	Yes	
row_11	Sotub05g007200.1.1	2378	-0.3862527012825012	-0.1951891	Yes	
row_12	CLCdnDe1_7082	2623	-0.5957668423652649	-0.12752913	Yes	
row_13	VdnPW2_37897	2826	-0.956449031829834	0.045469955	Yes	
