NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnPW2_16104	12	1.73573899269104	0.18649028	Yes	
row_1	CLCdnRY11_3712	95	1.092365026473999	0.27856752	Yes	
row_2	CLCdnPW12_3818	160	0.8915809392929077	0.35471484	Yes	
row_3	CLCdnDe1_17476	261	0.7161065936088562	0.39936864	Yes	
row_4	VdnDe2_19774	322	0.6571177244186401	0.45113298	Yes	
row_5	CLCdnDe7_39137	348	0.6117218136787415	0.5098019	Yes	
row_6	CLCdnPW13_13659	405	0.558585524559021	0.55210716	Yes	
row_7	CLCdnDe10_20366	466	0.507271409034729	0.5874199	Yes	
row_8	SdnRY1_7875	497	0.46812704205513	0.6286253	Yes	
row_9	CLCdnPW2_12861	1047	0.1319546103477478	0.45663157	No	
row_10	PBdnRY1_12454	1101	0.07250629365444183	0.4465893	No	
row_11	CLCdnDe7_30923	1199	0.05102808028459549	0.4192433	No	
row_12	CLCdnPW2_4744	1314	0.02702072635293007	0.38348708	No	
row_13	VdnPW2_37374	2280	-0.32636815309524536	0.091533616	No	
row_14	VdnDe3_134915	2394	-0.39556172490119934	0.09657909	No	
row_15	CLCdnPW48_664	2419	-0.42349812388420105	0.13492267	No	
row_16	CLCdnDe14_6774	2439	-0.44176411628723145	0.17697005	No	
