NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe5_6468	64	1.0301750898361206	0.11968453	Yes	
row_1	VdnDe7_10471	131	0.7971651554107666	0.20660909	Yes	
row_2	CLCdnDe14_17535	187	0.7202573418617249	0.28674707	Yes	
row_3	CLCdnPW11_13915	248	0.6631075739860535	0.35729298	Yes	
row_4	PBdnRY1_13014	266	0.6426474452018738	0.43987098	Yes	
row_5	VdnDe2_3401	426	0.4867583215236664	0.45196068	Yes	
row_6	CLCdnDe10_16314	509	0.4527864456176758	0.4859632	Yes	
row_7	SdnPW1_32839	753	0.3321641683578491	0.44777042	Yes	
row_8	VdnDe5_72487	755	0.33035656809806824	0.4928924	Yes	
row_9	VdnDe2_17777	810	0.309755802154541	0.516878	Yes	
row_10	PBdnRY1_8163	1270	0.12343890964984894	0.37537253	No	
row_11	CLCdnPW14_1310	1610	2.2536484175361693E-4	0.2583455	No	
row_12	CLCdnRY10_27335	1612	1.0535279579926282E-4	0.2580147	No	
row_13	CLCdnDe1_490	1839	-0.08768503367900848	0.19204423	No	
row_14	CLCdnPW10_1259	1919	-0.11556265503168106	0.18067022	No	
row_15	CLCdnDe14_4271	2683	-0.5403334498405457	-0.008430041	No	
row_16	CLCdnDe7_73879	2775	-0.6332820653915405	0.047306523	No	
