NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub03g026600.1.1	22	1.9262992143630981	0.168195	Yes	
row_1	CLCdnDe3_1276	94	1.35466468334198	0.26497164	Yes	
row_2	VdnPW1_24335	194	1.0864371061325073	0.32629722	Yes	
row_3	VdnPW4_18978	287	0.8914004564285278	0.37244153	Yes	
row_4	VdnPW4_24682	292	0.8756266236305237	0.4512209	Yes	
row_5	VdnPW3_9839	297	0.8654271960258484	0.5290646	Yes	
row_6	CLCdnDe14_1452	336	0.8096914887428284	0.5886271	Yes	
row_7	CLCdnDe12_9629	460	0.6835715174674988	0.6036993	Yes	
row_8	VdnDe4_119014	488	0.659480094909668	0.6537419	Yes	
row_9	CLCdnDe14_4042	594	0.5495293140411377	0.6634887	Yes	
row_10	CLCdnDe2_3432	686	0.4677412211894989	0.6711545	Yes	
row_11	VdnDe5_17132	747	0.4339911937713623	0.6877303	Yes	
row_12	VdnPW1_169248	923	0.2871507704257965	0.64629614	No	
row_13	Sotub08g009610.1.1	1395	0.009556475095450878	0.46475613	No	
