NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe4_1020	162	1.348487377166748	-0.022607325	No	
row_1	VdnPW4_12907	227	1.19781494140625	-0.018284533	No	
row_2	CLCdnDe10_133169	239	1.1750622987747192	0.00177298	No	
row_3	CLCdnDe4_25247	258	1.1341270208358765	0.018876655	No	
row_4	VdnRY1_208207	476	0.8402533531188965	-0.030658074	No	
row_5	CLCdnDe10_32937	522	0.7885033488273621	-0.02868898	No	
row_6	PBdnRY1_10293	525	0.7873674631118774	-0.013608741	No	
row_7	VdnPW6_144	605	0.7122316956520081	-0.023544483	No	
row_8	VdnPW2_25295	648	0.6624940633773804	-0.023170263	No	
row_9	CLCdnDe10_110664	669	0.6517980694770813	-0.016289592	No	
row_10	CLCdnPW10_11437	726	0.6350177526473999	-0.020739052	No	
row_11	CLCdnPW36_310	822	0.5487782955169678	-0.038819175	No	
row_12	VdnPW5_1148	835	0.5347358584403992	-0.031827893	No	
row_13	VdnDe2_86784	912	0.4671458899974823	-0.045731537	No	
row_14	PBdnRY1_7025	942	0.4480862319469452	-0.045659482	No	
row_15	CLCdnDe13_12183	979	0.42379051446914673	-0.048209667	No	
row_16	CLCdnPW35_11122	981	0.42274072766304016	-0.040090483	No	
row_17	CLCdnDe11_103168	1115	0.3311009705066681	-0.0741152	No	
row_18	CLCdnDe11_29	1130	0.3242240250110626	-0.07192999	No	
row_19	VdnPW1_94603	1133	0.3240182399749756	-0.06608365	No	
row_20	SdnRY1_17328	1142	0.3220633268356323	-0.062108874	No	
row_21	VdnPW5_21020	1198	0.29646337032318115	-0.072999805	No	
row_22	CLCdnDe12_196	1199	0.2963792383670807	-0.06709339	No	
row_23	CLCdnPW46_6011	1231	0.2814910113811493	-0.070952214	No	
row_24	Sotub08g026090.1.1	1351	0.2223566323518753	-0.10286794	No	
row_25	Sotub02g012180.1.1	1411	0.1945735663175583	-0.11701114	No	
row_26	VdnDe2_242074	1456	0.17552337050437927	-0.12695242	No	
row_27	VdnDe6_83995	1503	0.14976899325847626	-0.13801783	No	
row_28	CLCdnPW10_4222	1509	0.14702054858207703	-0.13661511	No	
row_29	SdnRY1_26986	1583	0.10364802926778793	-0.15684643	No	
row_30	VdnPW4_2454	1591	0.10180123895406723	-0.15695573	No	
row_31	SdnRY1_30174	1633	0.07771581411361694	-0.16792989	No	
row_32	CLCdnDe6_1441	1762	0.0064365011639893055	-0.20689753	No	
row_33	CLCdnDe8_19	1981	-0.004387406166642904	-0.2733953	No	
row_34	SdnPW1_31087	2007	-0.01768784038722515	-0.28067872	No	
row_35	CLCdnPW1_5	2012	-0.02020382136106491	-0.28149784	No	
row_36	CLCdnRY11_16366	2015	-0.02089686319231987	-0.28169227	No	
row_37	VdnDe1_33499	2022	-0.02421439439058304	-0.28304234	No	
row_38	CLCdnDe10_18369	2030	-0.026420241221785545	-0.28465387	No	
row_39	CLCdnDe10_6355	2044	-0.0325954295694828	-0.28797498	No	
row_40	VdnPW7_1069	2050	-0.03700856491923332	-0.28876463	No	
row_41	SdnRY1_32458	2059	-0.04273385927081108	-0.2903565	No	
row_42	VdnDe7_17587	2069	-0.04683224856853485	-0.29217213	No	
row_43	SdnRY1_22609	2080	-0.05172682926058769	-0.29419565	No	
row_44	CLCdnDe8_44	2083	-0.052372463047504425	-0.29376283	No	
row_45	VdnDe4_112839	2124	-0.06522748619318008	-0.3046804	No	
row_46	CLCdnRY10_976	2128	-0.06758755445480347	-0.3042498	No	
row_47	CLCdnDe6_20870	2132	-0.07063107937574387	-0.30375853	No	
row_48	VdnPW5_1541	2143	-0.07752078026533127	-0.30526802	No	
row_49	CLCdnDe3_69573	2150	-0.07928721606731415	-0.30552053	No	
row_50	CLCdnRY12_2990	2173	-0.08923273533582687	-0.31046188	No	
row_51	SdnPW1_5557	2180	-0.09477026760578156	-0.31040585	No	
row_52	SdnRY1_31854	2195	-0.10130690783262253	-0.31266308	No	
row_53	CLCdnDe3_22516	2208	-0.11198630928993225	-0.3140966	No	
row_54	TPW_comp71961_c1_seq6	2234	-0.12406256794929504	-0.31926012	No	
row_55	PBdnRY1_64	2270	-0.14783518016338348	-0.32700425	No	
row_56	SdnRY1_30222	2287	-0.15736529231071472	-0.32875517	No	
row_57	CLCdnDe11_19980	2370	-0.2142583280801773	-0.34953114	No	
row_58	CLCdnDe12_767	2386	-0.22258524596691132	-0.34967688	No	
row_59	CLCdnDe12_12595	2401	-0.23086178302764893	-0.34935224	No	
row_60	VdnDe4_43797	2425	-0.23915691673755646	-0.35161123	No	
row_61	CLCdnPW4_4756	2470	-0.26379474997520447	-0.3597934	No	
row_62	CLCdnRY11_78579	2484	-0.26665031909942627	-0.3584501	No	
row_63	Sotub09g025050.1.1	2505	-0.2780519723892212	-0.35901767	No	
row_64	PBdnRY1_1041	2538	-0.2976820468902588	-0.36285928	No	
row_65	CLCdnPW26_13763	2559	-0.30976393818855286	-0.36279485	No	
row_66	VdnPW3_6481	2595	-0.3381689190864563	-0.36674592	Yes	
row_67	VdnPW6_169	2610	-0.3467532694339752	-0.36411172	Yes	
row_68	CLCdnRY10_10121	2633	-0.36249151825904846	-0.3636074	Yes	
row_69	VdnDe5_67029	2638	-0.3647143542766571	-0.3575609	Yes	
row_70	CLCdnDe11_925	2649	-0.3694421052932739	-0.35325283	Yes	
row_71	CLCdnDe6_15688	2667	-0.38155677914619446	-0.35084137	Yes	
row_72	SdnPW1_12760	2723	-0.4245659112930298	-0.3591794	Yes	
row_73	CLCdnDe12_170142	2724	-0.4248209595680237	-0.3507133	Yes	
row_74	CLCdnPW2_21124	2725	-0.4252394735813141	-0.3422389	Yes	
row_75	CLCdnPW38_3391	2729	-0.42580124735832214	-0.3346696	Yes	
row_76	CLCdnDe8_1271	2732	-0.4285399317741394	-0.3267403	Yes	
row_77	Sotub07g026740.1.1	2795	-0.46934500336647034	-0.33632398	Yes	
row_78	VdnRY3_56188	2852	-0.5093762278556824	-0.3432773	Yes	
row_79	PBdnRY1_7673	2870	-0.5317256450653076	-0.3378732	Yes	
row_80	VdnPW2_37897	2876	-0.5373103022575378	-0.32869256	Yes	
row_81	VdnPW1_205524	2886	-0.5459492206573486	-0.3205615	Yes	
row_82	CLCdnPW2_557	2921	-0.586398720741272	-0.31926024	Yes	
row_83	CLCdnPW21_365	2945	-0.6110507845878601	-0.31410792	Yes	
row_84	VdnDe3_77600	2964	-0.6346302628517151	-0.3069585	Yes	
row_85	CLCdnDe13_6082	2980	-0.6415588855743408	-0.2987547	Yes	
row_86	CLCdnDe5_18928	3001	-0.6547742486000061	-0.2918147	Yes	
row_87	CLCdnPW1_1598	3025	-0.6736103296279907	-0.28541568	Yes	
row_88	Sotub03g006080.1.1	3087	-0.7423787117004395	-0.28925276	Yes	
row_89	CLCdnRY11_16137	3097	-0.7607740163803101	-0.27684054	Yes	
row_90	PBdnRY1_20	3099	-0.7647669911384583	-0.26190528	Yes	
row_91	CLCdnDe1_7082	3101	-0.7656304240226746	-0.24695279	Yes	
row_92	CLCdnDe11_157716	3109	-0.7756658792495728	-0.23363292	Yes	
row_93	SdnRY1_37248	3114	-0.7789984941482544	-0.21933034	Yes	
row_94	CLCdnPW26_10125	3129	-0.8144341707229614	-0.20737594	Yes	
row_95	VdnPW5_2664	3161	-0.8729053139686584	-0.19944872	Yes	
row_96	CLCdnDe12_169955	3163	-0.8758326172828674	-0.18230006	Yes	
row_97	VdnPW5_65492	3188	-0.9058786034584045	-0.17157768	Yes	
row_98	Sotub05g007200.1.1	3201	-0.9210912585258484	-0.15688688	Yes	
row_99	TPW_comp66961_c0_seq1	3228	-0.9810410141944885	-0.14527749	Yes	
row_100	Sotub02g008470.1.1	3259	-1.0613983869552612	-0.13328843	Yes	
row_101	SdnPW1_23449	3278	-1.1171983480453491	-0.11652211	Yes	
row_102	CLCdnDe10_2896	3291	-1.1577303409576416	-0.097115435	Yes	
row_103	CLCdnDe2_3843	3298	-1.180337905883789	-0.0754256	Yes	
row_104	VdnDe4_111821	3320	-1.2690482139587402	-0.056549456	Yes	
row_105	VdnDe3_168157	3352	-1.614309310913086	-0.033847105	Yes	
row_106	CLCdnDe4_97465	3376	-2.112231969833374	0.0012216237	Yes	
