NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VdnPW2_57081	42	1.8663051128387451	0.2862048	Yes	
row_1	Sotub06g027530.1.1	143	1.38258695602417	0.47778875	Yes	
row_2	CLCdnDe8_2850	373	0.954965353012085	0.5626608	Yes	
row_3	CLCdnPW27_2854	456	0.8693779110908508	0.6774563	Yes	
row_4	VdnDe1_253544	1157	0.31552085280418396	0.5202345	No	
row_5	VdnPW2_106793	1412	0.19404396414756775	0.47591674	No	
row_6	CLCdnDe10_801	1453	0.17629653215408325	0.4922603	No	
row_7	CLCdnPW1_202	1472	0.16629935801029205	0.5135322	No	
row_8	Sotub08g007960.1.1	1617	0.08571197092533112	0.48451886	No	
row_9	PBdnRY1_10848	1839	1.5286856796592474E-4	0.41896468	No	
row_10	PBdnRY1_13785	2414	-0.237507164478302	0.28664693	No	
