NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub08g013550.1.1	601	0.7130622863769531	-0.11504743	No	
row_1	CLCdnDe3_31926	831	0.5385458469390869	-0.13502035	No	
row_2	VdnDe2_150716	1071	0.3602270781993866	-0.17391542	No	
row_3	VdnDe2_154883	1121	0.3283288776874542	-0.1591323	No	
row_4	VdnRY2_37966	1180	0.3037252724170685	-0.14922725	No	
row_5	SdnRY1_30543	1789	8.806758560240269E-4	-0.33004704	No	
row_6	VdnPW2_100802	2328	-0.17857836186885834	-0.47414836	No	
row_7	VdnPW2_43773	2408	-0.23482078313827515	-0.47665352	No	
row_8	VdnPW6_10676	2504	-0.2777586579322815	-0.48007923	No	
row_9	VdnDe1_251039	2568	-0.3167375326156616	-0.47049817	No	
row_10	CLCdnPW1_685	2844	-0.5014441609382629	-0.50747544	Yes	
row_11	VdnPW2_12656	2851	-0.5090452432632446	-0.46373725	Yes	
row_12	CLCdnRY7_6458	3010	-0.6604261994361877	-0.45168588	Yes	
row_13	CLCdnDe8_324	3056	-0.7032578587532043	-0.40218315	Yes	
row_14	CLCdnPW44_675	3093	-0.7504952549934387	-0.34577826	Yes	
row_15	VdnPW2_84249	3123	-0.8025496006011963	-0.28263548	Yes	
row_16	CLCdnDe12_14635	3179	-0.88885897397995	-0.21950996	Yes	
row_17	Sotub04g033050.1.1	3209	-0.9344953894615173	-0.14456742	Yes	
row_18	Sotub06g018070.1.1	3263	-1.0681641101837158	-0.06481176	Yes	
row_19	CLCdnPW16_30626	3276	-1.110662817955017	0.030943261	Yes	
