NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnPW11_6278	43	1.855765700340271	0.21286896	Yes	
row_1	VdnDe3_14542	318	0.981016993522644	0.24010676	Yes	
row_2	CLCdnRY11_14409	452	0.7985198497772217	0.29283702	Yes	
row_3	CLCdnPW45_18167	463	0.7805528044700623	0.38511655	Yes	
row_4	CLCdnDe10_19091	550	0.6506916284561157	0.43568105	Yes	
row_5	SdnRY1_19385	596	0.6080893278121948	0.49494085	Yes	
row_6	VdnDe2_110183	643	0.5593571662902832	0.54788804	Yes	
row_7	PBdnRY1_1658	830	0.3971249461174011	0.533428	Yes	
row_8	CLCdnDe7_20672	903	0.3240036070346832	0.5487019	Yes	
row_9	CLCdnDe4_22891	927	0.30562683939933777	0.57835597	Yes	
row_10	VdnPW2_44	948	0.2785171866416931	0.60570556	Yes	
row_11	PBdnRY1_12988	988	0.24397613108158112	0.6223719	Yes	
row_12	VdnDe1_168358	1272	0.012267454527318478	0.5278131	No	
row_13	CLCdnDe5_10016	1689	-0.11578104645013809	0.4007962	No	
row_14	CLCdnDe13_33222	1862	-0.24717634916305542	0.37270886	No	
