NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VdnPW1_21177	305	0.5585641860961914	0.021269478	No	
row_1	VdnDe3_78649	598	0.36689528822898865	0.008033705	No	
row_2	CLCdnDe2_23231	1347	0.08462949842214584	-0.1970514	No	
row_3	CLCdnDe2_15519	1685	-0.004361032973974943	-0.29620817	No	
row_4	CLCdnPW26_20372	1787	-0.013997144997119904	-0.32338578	No	
row_5	CLCdnRY10_859	2129	-0.12305991351604462	-0.3999714	No	
row_6	VdnDe4_46854	2332	-0.18359103798866272	-0.42318273	No	
row_7	CLCdnDe14_76735	3082	-0.5860357284545898	-0.52820444	Yes	
row_8	TPW_comp66191_c0_seq1	3210	-0.7125261425971985	-0.42328367	Yes	
row_9	CLCdnDe7_21519	3219	-0.7221547961235046	-0.2811136	Yes	
row_10	CLCdnPW50_58437	3254	-0.8094446063041687	-0.12918922	Yes	
row_11	CLCdnPW47_4671	3259	-0.830807089805603	0.035915714	Yes	
