NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnRY11_47218	31	1.0672951936721802	0.0066600307	No	
row_1	VdnDe1_164729	94	0.8304553031921387	-5.8284757E-5	No	
row_2	CLCdnRY1_14188	137	0.7134037017822266	-0.002291748	No	
row_3	CLCdnDe5_18853	153	0.6911944150924683	0.0036161002	No	
row_4	CLCdnRY5_6334	177	0.665225625038147	0.0066115786	No	
row_5	VdnDe7_22908	188	0.655052661895752	0.0135349445	No	
row_6	CLCdnDe11_3036	194	0.6510539054870605	0.021967713	No	
row_7	CLCdnDe12_1715	198	0.6490901112556458	0.030998645	No	
row_8	VdnDe2_50828	200	0.6465741395950317	0.040619258	No	
row_9	CLCdnPW39_18749	206	0.6421470642089844	0.04891517	No	
row_10	VdnDe6_153	209	0.6395545601844788	0.058113758	No	
row_11	VdnDe3_65743	214	0.6380422711372375	0.06666077	No	
row_12	CLCdnPW48_5750	310	0.5547738075256348	0.045338955	No	
row_13	CLCdnDe14_177	317	0.5458360314369202	0.051840857	No	
row_14	CLCdnRY5_3084	329	0.5317183136940002	0.056554988	No	
row_15	CLCdnPW18_6778	332	0.5294368267059326	0.06406158	No	
row_16	CLCdnRY12_9763	342	0.5257568359375	0.06931245	No	
row_17	VdnDe4_47908	356	0.5132743716239929	0.07311486	No	
row_18	PBdnRY1_255	391	0.49545106291770935	0.07004584	No	
row_19	CLCdnDe11_13586	429	0.48098990321159363	0.065812126	No	
row_20	SdnRY1_11774	437	0.47517675161361694	0.07091416	No	
row_21	SdnPW1_2729	548	0.40432292222976685	0.042568095	No	
row_22	Sotub11g012940.1.1	561	0.39849531650543213	0.04492105	No	
row_23	VdnDe3_63818	578	0.3885631561279297	0.04586472	No	
row_24	VdnDe2_81111	632	0.3516928255558014	0.034617618	No	
row_25	VdnDe1_75211	642	0.34987956285476685	0.037166085	No	
row_26	CLCdnPW12_9403	643	0.3488616943359375	0.04252644	No	
row_27	CLCdnRY12_13836	672	0.3394705355167389	0.03894576	No	
row_28	CLCdnPW26_2348	712	0.3307618796825409	0.03177541	No	
row_29	PBdnRY1_8413	726	0.3267016112804413	0.03271107	No	
row_30	CLCdnDe10_18432	735	0.324834406375885	0.035188884	No	
row_31	CLCdnDe10_11586	746	0.3205268085002899	0.036972173	No	
row_32	CLCdnDe11_57157	750	0.3179345726966858	0.04091481	No	
row_33	PBdnRY1_10503	771	0.309512197971344	0.039387167	No	
row_34	VdnDe3_168	795	0.2965511977672577	0.03671787	No	
row_35	CLCdnPW35_9086	796	0.2952779233455658	0.04125489	No	
row_36	CLCdnDe14_9511	814	0.28385090827941895	0.040275462	No	
row_37	VdnDe3_15549	825	0.27619296312332153	0.041377548	No	
row_38	CLCdnPW8_930	854	0.2627132833003998	0.036617473	No	
row_39	PBdnRY1_8085	870	0.25454774498939514	0.035816133	No	
row_40	VdnDe6_1697	873	0.2536090612411499	0.039084565	No	
row_41	SdnRY1_2359	875	0.25228023529052734	0.042646747	No	
row_42	VdnDe2_27664	882	0.24991180002689362	0.044601694	No	
row_43	CLCdnDe11_15131	940	0.2283519208431244	0.030202746	No	
row_44	CLCdnDe12_8408	960	0.22419627010822296	0.027678369	No	
row_45	CLCdnRY12_15560	984	0.21795421838760376	0.023801407	No	
row_46	CLCdnRY12_15989	1038	0.19460764527320862	0.010140646	No	
row_47	CLCdnRY11_6830	1051	0.1890399307012558	0.009275266	No	
row_48	PBdnRY1_12104	1066	0.18363450467586517	0.0076984917	No	
row_49	CLCdnRY6_5225	1075	0.1818932145833969	0.007979977	No	
row_50	CLCdnDe12_3244	1098	0.172323077917099	0.0037160476	No	
row_51	PBdnRY1_12024	1144	0.1577230542898178	-0.007998102	No	
row_52	CLCdnDe5_1537	1158	0.15286870300769806	-0.009733431	No	
row_53	CLCdnDe13_10251	1188	0.14113476872444153	-0.01667576	No	
row_54	CLCdnPW19_17718	1192	0.1396428942680359	-0.015472617	No	
row_55	VdnPW3_34157	1194	0.13886509835720062	-0.013653087	No	
row_56	VdnPW3_12033	1195	0.1385415494441986	-0.011524361	No	
row_57	CLCdnPW34_4213	1202	0.13483501970767975	-0.011337599	No	
row_58	VdnPW2_8190	1216	0.12845002114772797	-0.013448128	No	
row_59	CLCdnRY5_637	1224	0.12606175243854523	-0.01371034	No	
row_60	VdnDe2_32065	1244	0.12091715633869171	-0.017821627	No	
row_61	VdnDe1_35991	1262	0.11491584777832031	-0.021396788	No	
row_62	CLCdnPW31_16589	1264	0.11469031125307083	-0.01994871	No	
row_63	VdnDe6_64187	1265	0.11450446397066116	-0.018189318	No	
row_64	CLCdnPW46_21867	1302	0.10014727711677551	-0.027960613	No	
row_65	VdnDe1_32914	1316	0.09612690657377243	-0.030567797	No	
row_66	CLCdnRY10_12404	1325	0.09361324459314346	-0.031642757	No	
row_67	CLCdnDe6_945	1359	0.0786588042974472	-0.04080172	No	
row_68	CLCdnRY2_8558	1383	0.0714726448059082	-0.04692941	No	
row_69	VdnDe4_6103	1385	0.07087917625904083	-0.046154503	No	
row_70	CLCdnDe13_19178	1400	0.0652555301785469	-0.0495502	No	
row_71	VdnDe2_163887	1426	0.05254412069916725	-0.056597073	No	
row_72	VdnDe1_187238	1450	0.037254102528095245	-0.06325054	No	
row_73	CLCdnDe10_1028	1470	0.02339646965265274	-0.06886026	No	
row_74	CLCdnDe13_13901	1471	0.02328166365623474	-0.06850253	No	
row_75	CLCdnDe10_1746	1497	0.004599008243530989	-0.07628609	No	
row_76	VdnPW3_47395	1517	5.492046475410461E-4	-0.08224686	No	
row_77	CLCdnPW22_14175	1528	2.9933085897937417E-4	-0.08538395	No	
row_78	VdnPW1_59479	1529	2.861873363144696E-4	-0.085379556	No	
row_79	TDe_comp102700_c0_seq1	1533	2.6661079027689993E-4	-0.086317964	No	
row_80	VdnPW1_152789	1535	2.2986442490946501E-4	-0.0866286	No	
row_81	CLCdnRY5_12224	1538	2.0074193889740855E-4	-0.08725386	No	
row_82	VdnPW2_107274	1563	4.187149534118362E-5	-0.09479327	No	
row_83	PBdnRY1_2408	1572	2.0124190996284597E-5	-0.09730631	No	
row_84	CLCdnRY12_15048	1582	0.0	-0.100133836	No	
row_85	CLCdnPW48_10122	1586	0.0	-0.10107634	No	
row_86	CLCdnDe10_3747	1604	-4.0621700463816524E-5	-0.10641659	No	
row_87	CLCdnPW50_2553	1611	-5.7243443734478205E-5	-0.10830072	No	
row_88	CLCdnPW12_15187	1642	-2.7897022664546967E-4	-0.117721505	No	
row_89	CLCdnRY1_15408	1660	-0.0017188715282827616	-0.123035975	No	
row_90	CLCdnRY10_15876	1680	-0.003881258424371481	-0.12894554	No	
row_91	VdnDe2_94289	1682	-0.004010739270597696	-0.12919809	No	
row_92	SdnRY1_41117	1744	-0.010074780322611332	-0.14820759	No	
row_93	VdnPW3_25805	1800	-0.01514976006001234	-0.16525412	No	
row_94	VdnPW5_2060	1830	-0.018292240798473358	-0.17408395	No	
row_95	VdnDe3_50872	1847	-0.01980251632630825	-0.17880638	No	
row_96	Sotub07g027880.1.1	1863	-0.02121310867369175	-0.18319297	No	
row_97	PBdnRY1_9944	1868	-0.021874981001019478	-0.18411353	No	
row_98	VdnPW1_173074	1886	-0.023879697546362877	-0.1890875	No	
row_99	Sotub06g007470.1.1	1896	-0.024897240102291107	-0.19153246	No	
row_100	Sotub01g034510.1.1	1900	-0.02513241395354271	-0.1920888	No	
row_101	VdnPW1_121567	1919	-0.027630407363176346	-0.1973193	No	
row_102	CLCdnDe10_3842	1933	-0.02981097251176834	-0.20094544	No	
row_103	VdnPW3_15885	1937	-0.030430486425757408	-0.20142037	No	
row_104	VdnDe1_106886	1969	-0.03288206458091736	-0.21065436	No	
row_105	TPW_comp75473_c0_seq3	1984	-0.033547766506671906	-0.21453726	No	
row_106	SdnRY1_23116	1997	-0.036795590072870255	-0.21774192	No	
row_107	SdnPW1_9680	1998	-0.0373639315366745	-0.21716781	No	
row_108	VdnPW6_1958	2032	-0.0739607885479927	-0.22639896	No	
row_109	CLCdnDe10_6899	2038	-0.07737968116998672	-0.22678085	No	
row_110	VdnPW2_50311	2092	-0.10549261420965195	-0.24181089	No	
row_111	VdnPW2_9313	2106	-0.11459191888570786	-0.24413435	No	
row_112	Sotub07g029230.1.1	2117	-0.11899902671575546	-0.24544759	No	
row_113	VdnPW6_27679	2119	-0.11957428604364395	-0.24392447	No	
row_114	CLCdnPW19_6698	2143	-0.12614424526691437	-0.24921212	No	
row_115	VdnPW2_154285	2148	-0.12778232991695404	-0.24850538	No	
row_116	CLCdnDe12_3095	2153	-0.12860548496246338	-0.247786	No	
row_117	CLCdnDe13_6795	2164	-0.13091784715652466	-0.2489161	No	
row_118	Sotub11g023490.1.1	2171	-0.13267585635185242	-0.24876252	No	
row_119	CLCdnRY1_7150	2172	-0.1329711377620697	-0.24671938	No	
row_120	CLCdnDe2_1758	2173	-0.13351507484912872	-0.24466789	No	
row_121	VdnDe5_15193	2176	-0.13411502540111542	-0.24323551	No	
row_122	SdnRY1_34	2183	-0.13555291295051575	-0.24303772	No	
row_123	Sotub06g015950.1.1	2204	-0.141852468252182	-0.2471415	No	
row_124	VdnDe1_18264	2241	-0.1553097367286682	-0.25606522	No	
row_125	CLCdnDe2_1400	2250	-0.1568136066198349	-0.25616908	No	
row_126	Sotub09g017970.1.1	2296	-0.17159642279148102	-0.26767007	No	
row_127	CLCdnDe11_4682	2311	-0.17654848098754883	-0.2693557	No	
row_128	CLCdnRY12_8951	2342	-0.18607603013515472	-0.27592167	No	
row_129	VdnDe1_196383	2345	-0.18680864572525024	-0.27367964	No	
row_130	PBdnRY1_14222	2347	-0.1876964271068573	-0.27110982	No	
row_131	VdnPW6_7974	2358	-0.1910996288061142	-0.27131522	No	
row_132	TDe_comp109698_c0_seq1	2385	-0.19969359040260315	-0.27641526	No	
row_133	VdnDe1_59177	2387	-0.2003670185804367	-0.27365074	No	
row_134	SdnRY1_12111	2394	-0.2039162963628769	-0.27240252	No	
row_135	CLCdnDe13_22055	2402	-0.20706728100776672	-0.27142006	No	
row_136	CLCdnDe10_11339	2413	-0.21280498802661896	-0.27129194	No	
row_137	SdnRY1_20782	2434	-0.22130902111530304	-0.27417487	No	
row_138	CLCdnDe11_13969	2501	-0.24706164002418518	-0.29111385	No	
row_139	Sotub04g027190.1.1	2529	-0.26110726594924927	-0.29558444	No	
row_140	PBdnRY1_14531	2564	-0.27506622672080994	-0.3020397	No	
row_141	Sotub01g047060.1.1	2618	-0.3062748610973358	-0.31398466	No	
row_142	SdnPW1_14524	2646	-0.3222501277923584	-0.3175158	No	
row_143	VdnDe3_71913	2654	-0.3312486708164215	-0.31462523	No	
row_144	VdnPW3_4089	2698	-0.35527074337005615	-0.32267568	Yes	
row_145	Sotub06g024500.1.1	2699	-0.3555351793766022	-0.3172128	Yes	
row_146	CLCdnDe13_9684	2704	-0.35827937722206116	-0.3129644	Yes	
row_147	VdnDe2_7137	2710	-0.35946980118751526	-0.3090119	Yes	
