NAME	TITLE	SCORE	
VdnDe3_14542		3.0780075	
CLCdnDe6_12395		2.824095	
VdnDe7_22908		2.7881649	
VdnDe1_51537		2.6709259	
CLCdnDe10_3689		2.6450446	
VdnPW2_58104		2.566013	
CLCdnDe6_3094		2.4283035	
CLCdnDe1_15236		2.40652	
CLCdnDe13_19623		2.371221	
CLCdnPW2_14811		2.3537202	
SdnRY1_5873		2.35314	
CLCdnDe7_2751		2.3176982	
VdnPW4_15664		2.2895982	
PBdnRY1_11085		2.2720253	
CLCdnDe6_12019		2.2590163	
VdnDe2_58079		2.2142856	
CLCdnDe3_4005		2.1963696	
CLCdnDe2_29678		2.1719882	
CLCdnPW12_30149		2.128445	
CLCdnDe11_13586		2.1157537	
CLCdnRY7_2279		2.0664132	
CLCdnRY2_11642		2.0488725	
CLCdnDe11_34363		1.9647326	
CLCdnDe13_21789		1.9517754	
VdnDe6_18125		1.9430568	
CLCdnDe14_17535		1.9402115	
VdnPW1_29013		1.9349782	
CLCdnRY10_5304		1.9243823	
CLCdnRY10_6458		1.8886676	
CLCdnDe13_1984		1.8749143	
CLCdnDe11_3162		1.8689353	
CLCdnRY10_7054		1.8605791	
CLCdnDe1_8545		1.8541185	
VdnPW1_80875		1.8446323	
CLCdnRY10_10538		1.8180763	
VdnDe2_2415		1.7859085	
VdnPW2_8190		1.7633685	
CLCdnDe6_10585		1.7560933	
CLCdnDe12_5975		1.749022	
PBdnRY1_5588		1.7176238	
CLCdnDe12_13225		1.6918205	
CLCdnDe2_96512		1.6913072	
CLCdnDe11_13992		1.6863426	
CLCdnRY11_6337		1.6830964	
Sotub06g023300.1.1		1.6810704	
CLCdnDe10_3254		1.6774126	
CLCdnDe11_15904		1.6672025	
CLCdnRY10_25358		1.6593927	
CLCdnDe13_3614		1.6430863	
Sotub08g029270.1.1		1.5961592	
VdnPW1_46643		1.5791004	
VdnDe1_107535		1.5784488	
CLCdnDe10_5464		1.5725039	
PBdnRY1_12899		1.5679896	
CLCdnDe7_10298		1.5642563	
Sotub02g012920.1.1		1.5613608	
CLCdnDe12_7800		1.5565438	
CLCdnDe4_1794		1.546875	
CLCdnDe14_4042		1.5430508	
CLCdnPW12_2597		1.534528	
CLCdnPW26_6582		1.5307119	
PBdnRY1_6859		1.5274285	
CLCdnDe13_5430		1.5239228	
CLCdnDe14_780		1.5135052	
CLCdnRY9_710		1.5128493	
VdnDe2_49863		1.5123144	
CLCdnDe10_9642		1.5108088	
CLCdnPW10_11437		1.5018659	
Sotub08g009610.1.1		1.4985859	
CLCdnDe14_10274		1.4975107	
Sotub12g022730.1.1		1.4774476	
CLCdnDe11_19028		1.4763778	
CLCdnRY10_6181		1.4730505	
SdnRY1_746		1.4694303	
CLCdnRY11_11073		1.4620031	
VdnPW4_18801		1.4598339	
CLCdnRY10_8353		1.4500701	
VdnPW5_8201		1.444361	
CLCdnRY12_259		1.4442303	
VdnDe4_112658		1.4414003	
CLCdnDe5_2566		1.4388659	
VdnDe2_108376		1.4383926	
CLCdnDe6_6021		1.4234844	
CLCdnDe1_18047		1.4231035	
Sotub09g017970.1.1		1.421381	
CLCdnDe11_1569		1.4162972	
PGSC0003DMP400022558		1.4100069	
VdnDe1_6913		1.404184	
CLCdnDe1_415		1.396158	
TDe_comp109272_c0_seq1		1.3938435	
CLCdnDe5_1537		1.3870806	
CLCdnDe2_7728		1.3841681	
CLCdnDe7_171886		1.3790987	
CLCdnDe13_968		1.3765312	
CLCdnDe5_10016		1.3752013	
VdnPW2_52257		1.3688596	
CLCdnDe4_54819		1.3627905	
PGSC0003DMP400041735		1.360071	
VdnDe1_159180		1.3576279	
VdnDe6_15475		1.3575683	
CLCdnPW50_3448		1.3575333	
CLCdnDe11_3224		1.3531778	
CLCdnDe11_6341		1.3483778	
CLCdnPW15_595		1.3464031	
SdnPW1_5837		1.3434618	
VdnRY4_7789		1.3415321	
CLCdnPW45_3618		1.3409057	
CLCdnDe5_3863		1.3380293	
VdnDe3_29744		1.3366034	
VdnPW6_14412		1.3346702	
Sotub08g013540.1.1		1.3307552	
VdnPW1_96241		1.3296132	
CLCdnPW10_18989		1.3285271	
CLCdnRY2_8465		1.3278325	
CLCdnDe13_7965		1.3238785	
CLCdnPW2_1246		1.3215683	
CLCdnPW15_16969		1.3208342	
CLCdnDe11_7587		1.3207122	
CLCdnDe13_58690		1.3126541	
SdnPW1_13607		1.3013811	
VdnDe2_42914		1.3001007	
CLCdnDe8_2917		1.2995723	
PGSC0003DMP400050944		1.2980952	
CLCdnDe10_5889		1.2952176	
CLCdnDe14_11141		1.2925277	
CLCdnPW50_27239		1.2921005	
CLCdnDe2_3458		1.2862637	
Sotub02g018210.1.1		1.2833893	
VdnPW6_26549		1.282743	
VdnDe1_796		1.2826018	
PGSC0003DMP400031314		1.2825718	
VdnDe4_1780		1.2801356	
CLCdnDe13_63179		1.2778735	
CLCdnDe9_6268		1.2777132	
PBdnRY1_14000		1.2739527	
CLCdnPW2_6331		1.2722397	
CLCdnDe11_11864		1.2718158	
VdnDe3_5368		1.2655281	
VdnPW4_7594		1.2626601	
CLCdnRY10_16386		1.2618413	
CLCdnRY10_36097		1.2611183	
CLCdnPW12_3511		1.260243	
PBdnRY1_7078		1.2570133	
CLCdnDe3_19670		1.2565445	
CLCdnDe12_32861		1.2562355	
CLCdnDe1_17375		1.2558911	
SdnPW1_29909		1.2558141	
VdnRY7_25405		1.2558112	
CLCdnDe10_25091		1.2554904	
VdnPW1_158432		1.255429	
VdnDe2_5477		1.2554157	
Sotub12g015780.1.1		1.2541254	
VdnPW2_22570		1.2475497	
CLCdnDe6_10336		1.2467026	
CLCdnDe3_77018		1.2453879	
PGSC0003DMP400051496		1.2449722	
CLCdnDe10_8706		1.2440472	
CLCdnRY10_11384		1.2434695	
VdnDe4_115100		1.2410928	
Sotub12g028460.1.1		1.2401713	
CLCdnDe11_4900		1.2370219	
CLCdnDe10_9237		1.231169	
CLCdnPW10_3280		1.2221906	
VdnDe2_136139		1.2193624	
PBdnRY1_5389		1.2190394	
VdnPW2_19620		1.2189398	
Sotub02g024410.1.1		1.2138202	
VdnDe4_46261		1.2128539	
VdnRY1_208207		1.2094117	
VdnDe1_60815		1.208612	
CLCdnPW12_1472		1.2078772	
SdnRY1_8110		1.2062619	
TDe_comp109336_c0_seq1		1.2045954	
CLCdnRY12_3733		1.1968595	
VdnPW4_23646		1.1940173	
VdnDe6_26230		1.1868012	
CLCdnDe2_25118		1.186273	
CLCdnDe10_10537		1.1806517	
PBdnRY1_2131		1.1796904	
VdnDe4_52061		1.1789674	
VdnPW1_123240		1.1720552	
CLCdnPW11_4507		1.1720548	
CLCdnDe11_30967		1.1716418	
CLCdnDe7_132187		1.1714472	
CLCdnDe10_2990		1.170818	
CLCdnRY10_6179		1.1697448	
PBdnRY1_11327		1.1612649	
CLCdnPW22_30203		1.1612616	
CLCdnDe14_13728		1.1598285	
CLCdnDe10_1932		1.1575556	
VdnDe3_60442		1.1573374	
VdnPW2_12913		1.1557333	
PBdnRY1_12569		1.1554427	
CLCdnRY1_2092		1.1527765	
CLCdnDe5_9079		1.1524972	
VdnPW1_131419		1.1503229	
PBdnRY1_13974		1.1460971	
VdnDe3_47805		1.1458465	
CLCdnPW10_14289		1.1457224	
CLCdnDe5_927		1.1455396	
Sotub02g010580.1.1		1.1454325	
PBdnRY1_13118		1.1436429	
PBdnRY1_276		1.1409931	
CLCdnDe11_1800		1.1398648	
CLCdnPW47_3972		1.138258	
PBdnRY1_9857		1.1352618	
VdnPW2_48292		1.1351044	
CLCdnDe13_19178		1.1321642	
CLCdnDe2_12860		1.1307596	
CLCdnDe10_14611		1.1281434	
VdnDe1_41558		1.1270251	
CLCdnRY11_18549		1.1249589	
VdnPW3_22054		1.1236529	
VdnDe1_91431		1.122456	
CLCdnRY11_14409		1.122139	
CLCdnDe13_7665		1.1214265	
VdnDe2_160408		1.1210588	
CLCdnPW28_27086		1.1201551	
PBdnRY1_2064		1.119429	
PBdnRY1_2239		1.1183926	
VdnPW3_15885		1.1163143	
CLCdnPW26_1744		1.1162305	
VdnDe3_168		1.1157767	
CLCdnDe12_18802		1.1136746	
CLCdnPW16_3669		1.1119636	
CLCdnPW13_17812		1.1075652	
VdnPW4_7323		1.1058383	
CLCdnDe7_11532		1.105418	
CLCdnDe11_728		1.0985515	
CLCdnDe10_258		1.0947303	
PBdnRY1_255		1.0915505	
CLCdnPW50_4350		1.0895967	
CLCdnDe2_18362		1.0876454	
CLCdnPW10_4550		1.0875663	
CLCdnDe5_19897		1.0874599	
CLCdnDe14_24718		1.0863827	
CLCdnPW27_11736		1.0844549	
Sotub04g028180.1.1		1.0840743	
VdnPW2_69078		1.0809461	
CLCdnDe3_1276		1.0802184	
CLCdnDe1_13863		1.0798638	
TDe_comp111488_c0_seq7		1.0798607	
Sotub09g026800.1.1		1.0795354	
CLCdnPW15_1043		1.0766253	
VdnPW2_17980		1.0762091	
VdnDe4_24971		1.0745939	
Sotub08g023320.1.1		1.0739363	
CLCdnPW10_1192		1.0692036	
CLCdnDe6_5161		1.0677496	
VdnDe1_211833		1.0672246	
CLCdnPW46_753		1.0669751	
CLCdnDe12_15898		1.0642248	
CLCdnPW14_10990		1.064012	
CLCdnRY10_3120		1.0633954	
CLCdnDe10_12283		1.0626637	
CLCdnDe13_1477		1.0623462	
CLCdnDe7_14321		1.0586365	
Sotub11g028040.1.1		1.0583979	
CLCdnPW45_12230		1.0539871	
CLCdnPW2_256		1.0501157	
CLCdnDe2_14182		1.047102	
CLCdnDe10_1456		1.0444185	
CLCdnDe13_1091		1.0440452	
CLCdnDe13_23898		1.0425416	
CLCdnDe12_21408		1.0411453	
Sotub03g028070.1.1		1.0403435	
VdnPW1_29523		1.0392308	
CLCdnDe14_40649		1.0384946	
Sotub07g023130.1.1		1.0371577	
VdnPW4_36166		1.0359677	
CLCdnPW49_2239		1.0359128	
VdnPW4_8882		1.0358508	
CLCdnDe6_18540		1.0347916	
PBdnRY1_9551		1.0343142	
CLCdnDe13_12758		1.0335817	
VdnPW1_21177		1.0329517	
VdnPW1_115968		1.0304384	
VdnDe3_41729		1.0295913	
CLCdnPW49_8560		1.0264279	
VdnDe4_597		1.0257268	
CLCdnDe11_32855		1.0247093	
CLCdnDe12_12235		1.0241433	
CLCdnDe7_8600		1.0232539	
VdnDe2_7137		1.0186721	
CLCdnPW35_289		1.0186696	
