NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VdnPW2_38394	628	0.37414488196372986	-0.13010257	No	
row_1	Sotub01g021770.1.1	1091	0.0945681482553482	-0.2657549	No	
row_2	CLCdnDe9_21852	1642	-1.1747239477699623E-4	-0.45210642	No	
row_3	CLCdnDe5_5921	1680	-3.097308217547834E-4	-0.4645761	No	
row_4	CLCdnPW2_5711	2512	-0.484327107667923	-0.63911253	Yes	
row_5	CLCdnDe14_13050	2537	-0.5097819566726685	-0.5345555	Yes	
row_6	CLCdnDe14_16683	2582	-0.5514623522758484	-0.4275621	Yes	
row_7	VdnDe2_51479	2588	-0.5572142004966736	-0.30608138	Yes	
row_8	CLCdnPW14_3047	2765	-0.7792545557022095	-0.19346395	Yes	
row_9	SdnRY1_10712	2914	-1.172577977180481	0.015587939	Yes	
