NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe13_7645	602	0.471174031496048	-0.103043646	No	
row_1	VdnDe2_105393	609	0.4677649438381195	-0.02977962	No	
row_2	VdnPW2_92950	718	0.40877586603164673	0.0037536127	No	
row_3	CLCdnDe12_34831	1302	0.18999414145946503	-0.1387623	No	
row_4	CLCdnPW11_4875	2814	-0.3561183214187622	-0.52999747	Yes	
row_5	VdnDe1_154032	2855	-0.3799053728580475	-0.48091796	Yes	
row_6	CLCdnPW49_2310	2909	-0.4342356324195862	-0.4269797	Yes	
row_7	Sotub11g008610.1.1	3212	-0.7473936676979065	-0.3966881	Yes	
row_8	SdnRY1_18859	3244	-0.8053582906723022	-0.27668172	Yes	
row_9	Sotub11g008630.1.1	3290	-0.9063865542411804	-0.14462148	Yes	
row_10	CLCdnRY11_1589	3339	-1.066066026687622	0.01216626	Yes	
