NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe4_17069	45	0.9798067808151245	0.22087269	Yes	
row_1	TPW_comp60052_c0_seq1	96	0.7745912075042725	0.390514	Yes	
row_2	CLCdnDe4_23096	154	0.6410422325134277	0.5255244	Yes	
row_3	VdnPW3_43652	415	0.3916970193386078	0.53042823	Yes	
row_4	CLCdnPW16_568	975	0.12668229639530182	0.36836463	No	
row_5	VdnDe4_50048	1249	0.03455669432878494	0.28262842	No	
row_6	CLCdnPW16_3669	1337	0.003141628345474601	0.25340703	No	
row_7	VdnPW3_41699	1469	-0.04308919608592987	0.21866104	No	
row_8	CLCdnPW41_9933	1674	-0.11386965960264206	0.17583585	No	
row_9	CLCdnDe1_7813	2464	-0.4655584692955017	0.01627078	No	
row_10	Sotub06g032750.1.1	2601	-0.5710278153419495	0.1071675	No	
