NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe14_4042	208	0.7979114651679993	0.13421056	Yes	
row_1	VdnPW4_24682	403	0.5612371563911438	0.21242173	Yes	
row_2	CLCdnDe14_1452	485	0.4878794550895691	0.3101599	Yes	
row_3	VdnDe5_17132	510	0.45471855998039246	0.41873434	Yes	
row_4	VdnDe4_119014	516	0.4442790746688843	0.53107846	Yes	
row_5	CLCdnDe2_3432	660	0.35303521156311035	0.5731582	Yes	
row_6	CLCdnDe12_9629	767	0.2847946286201477	0.61028075	Yes	
row_7	Sotub03g026600.1.1	1078	0.10518208146095276	0.53205234	No	
row_8	Sotub08g009610.1.1	1372	0.015465177595615387	0.4365652	No	
row_9	VdnPW1_24335	1424	0.005711754783987999	0.42071974	No	
row_10	CLCdnDe4_8891	1528	0.0	0.3857571	No	
row_11	VdnPW4_18978	1723	-0.011365550570189953	0.32282248	No	
row_12	VdnPW1_169248	1807	-0.08089640736579895	0.31541386	No	
row_13	VdnPW3_9839	1843	-0.10386420786380768	0.33019412	No	
row_14	CLCdnDe3_1276	2017	-0.1894301325082779	0.32009497	No	
