NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnPW2_16104	12	1.73573899269104	0.26084095	Yes	
row_1	CLCdnRY11_3712	95	1.092365026473999	0.39976978	Yes	
row_2	CLCdnPW12_3818	160	0.8915809392929077	0.51415473	Yes	
row_3	CLCdnDe1_17476	261	0.7161065936088562	0.5895596	Yes	
row_4	CLCdnPW13_13659	405	0.558585524559021	0.6263524	Yes	
row_5	CLCdnDe10_20366	466	0.507271409034729	0.6834398	Yes	
row_6	SdnRY1_7875	497	0.46812704205513	0.74471897	Yes	
row_7	CLCdnPW2_12861	1047	0.1319546103477478	0.5788192	No	
row_8	CLCdnPW2_4744	1314	0.02702072635293007	0.49280414	No	
row_9	CLCdnPW48_664	2419	-0.42349812388420105	0.18332767	No	
