NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCdnDe2_7728	25	1.3091212511062622	0.32332963	Yes	
row_1	VdnDe5_15155	444	0.5693313479423523	0.3430991	Yes	
row_2	PBdnRY1_11896	583	0.49226489663124084	0.4265084	Yes	
row_3	CLCdnPW50_20477	779	0.3930203914642334	0.46792457	Yes	
row_4	CLCdnPW31_9953	831	0.37803563475608826	0.54829746	Yes	
row_5	VdnDe3_88959	966	0.3221610188484192	0.5899172	Yes	
row_6	CLCdnDe5_19897	1297	0.19277161359786987	0.54066914	No	
row_7	CLCdnPW10_10639	1755	0.029065459966659546	0.412364	No	
row_8	SdnRY1_4796	1843	0.012575049884617329	0.38971743	No	
row_9	VdnDe1_156674	2053	-0.03293047100305557	0.3360011	No	
row_10	CLCdnDe12_6233	2233	-0.10955248028039932	0.31054813	No	
row_11	VdnPW2_92592	2253	-0.11720593273639679	0.3345206	No	
