NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VdnDe4_32427	348	0.65300452709198	-0.022768283	No	
row_1	CLCdnDe13_63179	504	0.5284859538078308	-0.0035712724	No	
row_2	CLCdnDe13_7645	602	0.471174031496048	0.025781266	No	
row_3	VdnDe2_105393	609	0.4677649438381195	0.08174798	No	
row_4	VdnPW2_92950	718	0.40877586603164673	0.100129	No	
row_5	CLCdnDe12_34831	1302	0.18999414145946503	-0.049617346	No	
row_6	CLCdnPW18_3873	1733	0.032301537692546844	-0.17337753	No	
row_7	CLCdnPW11_4875	2814	-0.3561183214187622	-0.45026755	Yes	
row_8	VdnDe1_154032	2855	-0.3799053728580475	-0.41524878	Yes	
row_9	CLCdnPW49_2310	2909	-0.4342356324195862	-0.3773847	Yes	
row_10	VdnDe1_71427	3148	-0.6529671549797058	-0.36747786	Yes	
row_11	Sotub11g008610.1.1	3212	-0.7473936676979065	-0.29392284	Yes	
row_12	SdnRY1_18859	3244	-0.8053582906723022	-0.20370479	Yes	
row_13	Sotub11g008630.1.1	3290	-0.9063865542411804	-0.10517325	Yes	
row_14	CLCdnRY11_1589	3339	-1.066066026687622	0.012180693	Yes	
